Bill ID,Bill Number,Bill Date,Due Date,Vendor ID,Vendor Name,Vendor GSTIN,Source of Supply,Status,Currency Code,Exchange Rate,Expense Account,Item Description,Quantity,Rate,Tax Name,Tax Percentage,Tax Amount,SubTotal,Total,Balance,Purchase Order Number,GRN Number,Department,Branch,Reference Number,Notes
ZB-2001,BILL-2001,2025-04-06,2025-04-21,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Overdue,INR,1,Freight & Delivery,Packaging material,52,2147,GST 18%,18,20095.92,111644,131739.92,131739.92,PO-4081,GRN-4962,Operations,Delhi,VR-8508,Synthetic Zoho-style export
ZB-2002,BILL-2002,2025-04-07,2025-05-07,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Professional Fees,Technology service,67,2407,GST 18%,18,29028.42,161269,190297.42,0,PO-6702,GRN-6836,Operations,Kolkata,VR-5636,Synthetic Zoho-style export
ZB-2003,BILL-2003,2025-04-07,2025-05-22,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Purchases,Transport service,67,2903,GST 18%,18,35010.18,194501,229511.18,0,PO-6281,GRN-6159,Finance,Ahmedabad,VR-1045,Synthetic Zoho-style export
ZB-2004,BILL-2004,2025-04-04,2025-05-19,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Freight & Delivery,Technology service,88,2971,GST 18%,18,47060.64,261448,308508.64,0,PO-5964,GRN-6301,Technology,Delhi,VR-2848,Vendor GSTIN intentionally blank for validation practice
ZB-2005,BILL-2005,2025-04-25,2025-05-25,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Paid,INR,1,Professional Fees,Packaging material,12,2012,GST 18%,18,4345.92,24144,28489.92,0,PO-6618,,Finance,Ahmedabad,VR-7974,Synthetic Zoho-style export
ZB-2006,BILL-2006,2025-04-13,2025-05-28,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Repairs & Maintenance,Technology service,81,1295,GST 18%,18,18881.1,104895,123776.1,0,PO-5457,GRN-4570,Sales,Bengaluru,VR-8252,Vendor GSTIN intentionally blank for validation practice
ZB-2007,BILL-2007,2025-04-16,2025-05-31,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Overdue,INR,1,Purchases,Technology service,25,1922,GST 18%,18,8649,48050,56699,56699,PO-4504,GRN-5182,Operations,Ahmedabad,VR-5524,Synthetic Zoho-style export
ZB-2008,BILL-2008,2025-04-09,2025-05-24,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Purchases,Technology service,27,1256,GST 18%,18,6104.16,33912,40016.16,0,PO-6839,GRN-6499,Sales,Ahmedabad,VR-2505,Synthetic Zoho-style export
ZB-2009,BILL-2009,2025-05-04,2025-06-03,VEND-006,FastTrack Transport,33AADCF6666F1Z6,Tamil Nadu,Paid,INR,1,Freight & Delivery,Transport service,73,1303,GST 18%,18,17121.42,95119,112240.42,0,PO-4205,GRN-4627,Finance,Kolkata,VR-2040,Synthetic Zoho-style export
ZB-2010,BILL-2010,2025-05-03,2025-06-17,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Freight & Delivery,Facility service,51,2257,GST 18%,18,20719.26,115107,135826.26,0,PO-6236,GRN-4767,Sales,Delhi,VR-1019,Synthetic Zoho-style export
ZB-2011,BILL-2011,2025-05-08,2025-06-07,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Repairs & Maintenance,Facility service,30,2130,GST 18%,18,11502,63900,75402,0,PO-6946,GRN-6905,Administration,Ahmedabad,VR-2275,Synthetic Zoho-style export
ZB-2012,BILL-2012,2025-05-06,2025-06-20,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Paid,INR,1,Repairs & Maintenance,Packaging material,74,2341,GST 18%,18,31182.12,173234,204416.12,0,PO-6924,GRN-5840,Technology,Delhi,VR-4325,Synthetic Zoho-style export
ZB-2013,BILL-2013,2025-05-16,2025-06-30,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Professional Fees,Transport service,39,1036,GST 18%,18,7272.72,40404,47676.72,0,PO-5366,GRN-5314,Administration,Ahmedabad,VR-8328,Synthetic Zoho-style export
ZB-2014,BILL-2014,2025-05-21,2025-06-20,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Overdue,INR,1,Professional Fees,Technology service,62,2920,GST 18%,18,32587.2,181040,213627.2,213627.2,PO-6113,GRN-5578,Sales,Delhi,VR-8651,Synthetic Zoho-style export
ZB-2015,BILL-2015,2025-05-23,2025-07-07,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Paid,INR,1,Professional Fees,Facility service,68,2403,GST 18%,18,29412.72,163404,192816.72,0,PO-4314,GRN-5815,Finance,Mumbai,VR-8779,Synthetic Zoho-style export
ZB-2016,BILL-2016,2025-05-01,2025-05-16,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Freight & Delivery,Facility service,52,1040,GST 18%,18,9734.4,54080,63814.4,0,PO-4543,GRN-5722,Administration,Bengaluru,VR-5317,Synthetic Zoho-style export
ZB-2017,BILL-2017,2025-06-14,2025-07-14,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Professional Fees,Facility service,62,2875,GST 18%,18,32085,178250,210335,0,PO-4433,GRN-4857,Sales,Ahmedabad,VR-1802,Synthetic Zoho-style export
ZB-2018,BILL-2018,2025-06-24,2025-07-09,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Purchases,Facility service,21,1192,GST 18%,18,4505.76,25032,29537.76,0,PO-6540,GRN-5700,Operations,Kolkata,VR-3222,Synthetic Zoho-style export
ZB-2019,BILL-2019,2025-06-04,2025-06-19,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Repairs & Maintenance,Facility service,56,1783,GST 18%,18,17972.64,99848,117820.64,0,PO-4171,GRN-4432,Technology,Kolkata,VR-3383,Synthetic Zoho-style export
ZB-2020,BILL-2020,2025-06-18,2025-07-18,VEND-004,Dyna Services,07AADCD4444D1Z4,Delhi,Paid,INR,1,Repairs & Maintenance,Facility service,66,1917,GST 18%,18,22773.96,126522,149295.96,0,PO-5772,GRN-5358,Technology,Bengaluru,VR-2762,Synthetic Zoho-style export
ZB-2021,BILL-2021,2025-06-25,2025-07-10,VEND-006,FastTrack Transport,33AADCF6666F1Z6,Tamil Nadu,Partially Paid,INR,1,Professional Fees,Technology service,45,2187,GST 18%,18,17714.7,98415,116129.7,58064.85,PO-5087,GRN-6676,Operations,Bengaluru,VR-8345,Synthetic Zoho-style export
ZB-2022,BILL-2022,2025-06-06,2025-07-21,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Repairs & Maintenance,Technology service,11,2932,GST 18%,18,5805.36,32252,38057.36,0,PO-4733,GRN-4307,Administration,Ahmedabad,VR-7700,Synthetic Zoho-style export
ZB-2023,BILL-2023,2025-06-24,2025-07-24,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Freight & Delivery,Packaging material,64,2610,GST 18%,18,30067.2,167040,197107.2,0,PO-6637,GRN-4299,Sales,Mumbai,VR-1802,Synthetic Zoho-style export
ZB-2024,BILL-2024,2025-06-22,2025-07-07,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Overdue,INR,1,Repairs & Maintenance,Technology service,57,1305,GST 18%,18,13389.3,74385,87774.3,87774.3,PO-6487,GRN-5004,Technology,Mumbai,VR-3383,Synthetic Zoho-style export
ZB-2025,BILL-2025,2025-07-10,2025-07-25,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Paid,INR,1,Repairs & Maintenance,Facility service,15,1269,GST 18%,18,3426.3,19035,22461.3,0,PO-5060,GRN-6316,Sales,Ahmedabad,VR-2332,Synthetic Zoho-style export
ZB-2026,BILL-2026,2025-07-09,2025-08-08,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Repairs & Maintenance,Packaging material,20,2597,GST 18%,18,9349.2,51940,61289.2,0,PO-5766,GRN-6762,Operations,Delhi,VR-1987,Vendor GSTIN intentionally blank for validation practice
ZB-2027,BILL-2027,2025-07-09,2025-07-24,VEND-005,Evergreen Technologies,29AADCE5555E1Z5,Karnataka,Paid,INR,1,Professional Fees,Technology service,19,1808,GST 18%,18,6183.36,34352,40535.36,0,PO-5101,GRN-4740,Technology,Kolkata,VR-5555,Synthetic Zoho-style export
ZB-2028,BILL-2028,2025-07-22,2025-09-05,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Overdue,INR,1,Repairs & Maintenance,Technology service,77,2427,GST 18%,18,33638.22,186879,220517.22,220517.22,PO-4520,,Administration,Bengaluru,VR-1633,Synthetic Zoho-style export
ZB-2029,BILL-2029,2025-07-13,2025-07-28,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Partially Paid,INR,1,Freight & Delivery,Facility service,47,949,GST 18%,18,8028.54,44603,52631.54,26315.77,PO-6034,GRN-4076,Administration,Ahmedabad,VR-6727,Synthetic Zoho-style export
ZB-2030,BILL-2030,2025-07-20,2025-08-04,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Overdue,INR,1,Professional Fees,Transport service,63,2283,GST 18%,18,25889.22,143829,169718.22,169718.22,PO-5847,GRN-5006,Operations,Mumbai,VR-5390,Synthetic Zoho-style export
ZB-2031,BILL-2031,2025-07-13,2025-07-28,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Paid,INR,1,Freight & Delivery,Packaging material,67,1873,GST 18%,18,22588.38,125491,148079.38,0,PO-5539,GRN-5808,Finance,Ahmedabad,VR-2774,Synthetic Zoho-style export
ZB-2032,BILL-2032,2025-07-05,2025-08-04,VEND-008,Horizon Security,,Gujarat,Overdue,INR,1,Freight & Delivery,Facility service,11,2872,GST 18%,18,5686.56,31592,37278.56,37278.56,PO-4881,GRN-4100,Finance,Kolkata,VR-8609,Vendor GSTIN intentionally blank for validation practice
ZB-2033,BILL-2033,2025-08-24,2025-10-08,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Overdue,INR,1,Freight & Delivery,Facility service,82,1999,GST 18%,18,29505.24,163918,193423.24,193423.24,PO-4528,,Operations,Ahmedabad,VR-3626,Synthetic Zoho-style export
ZB-2034,BILL-2034,2025-08-09,2025-09-23,VEND-002,BoxPro Materials,27AADCB2222B1Z2,Maharashtra,Paid,INR,1,Professional Fees,Packaging material,70,2196,GST 18%,18,27669.6,153720,181389.6,0,PO-4635,GRN-5354,Sales,Delhi,VR-7987,Synthetic Zoho-style export
ZB-2035,BILL-2035,2025-08-09,2025-09-23,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Partially Paid,INR,1,Freight & Delivery,Technology service,43,2317,GST 18%,18,17933.58,99631,117564.58,58782.29,PO-5092,GRN-6611,Administration,Ahmedabad,VR-5329,Synthetic Zoho-style export
ZB-2036,BILL-2036,2025-08-09,2025-09-23,VEND-006,FastTrack Transport,33AADCF6666F1Z6,Tamil Nadu,Paid,INR,1,Purchases,Technology service,66,2267,GST 18%,18,26931.96,149622,176553.96,0,PO-5557,GRN-5185,Sales,Kolkata,VR-2231,Synthetic Zoho-style export
ZB-2037,BILL-2037,2025-08-10,2025-09-09,VEND-001,Alpha Supplies Pvt Ltd,24AADCA1111A1Z1,Gujarat,Partially Paid,INR,1,Repairs & Maintenance,Transport service,70,2227,GST 18%,18,28060.2,155890,183950.2,91975.1,PO-4122,GRN-4770,Technology,Delhi,VR-7311,Synthetic Zoho-style export
ZB-2038,BILL-2038,2025-08-05,2025-09-19,VEND-008,Horizon Security,,Gujarat,Paid,INR,1,Repairs & Maintenance,Technology service,34,1091,GST 18%,18,6676.92,37094,43770.92,0,PO-4897,GRN-4014,Finance,Mumbai,VR-3902,Vendor GSTIN intentionally blank for validation practice
ZB-2039,BILL-2039,2025-08-06,2025-09-05,VEND-003,Crest Logistics,19AADCC3333C1Z3,West Bengal,Paid,INR,1,Repairs & Maintenance,Technology service,27,1802,GST 18%,18,8757.72,48654,57411.72,0,PO-5043,GRN-5517,Operations,Delhi,VR-5249,Synthetic Zoho-style export
ZB-2040,BILL-2040,2025-08-07,2025-09-21,VEND-007,Global Packaging,24AADCG7777G1Z7,Gujarat,Overdue,INR,1,Professional Fees,Transport service,51,2553,GST 18%,18,23436.54,130203,153639.54,153639.54,PO-5259,GRN-4370,Technology,Mumbai,VR-9249,Synthetic Zoho-style export
