Source File,Source Column,Target SQL Table,Target SQL Column,Data Type,Required,Key Type,Transformation Rule,Validation Rule,Purpose
sales_invoices.csv,Invoice ID,stg_sales_invoices,invoice_id,TEXT,Yes,Primary/Foreign Key,Trim whitespace; preserve source value,Reject null or blank,Revenue and receivables
sales_invoices.csv,Invoice Number,stg_sales_invoices,invoice_number,TEXT,Yes,,Trim whitespace; preserve source value,Reject null or blank,Revenue and receivables
sales_invoices.csv,Invoice Date,stg_sales_invoices,invoice_date,DATE,Yes,,Parse ISO date YYYY-MM-DD,Reject null or blank,Revenue and receivables
sales_invoices.csv,Due Date,stg_sales_invoices,due_date,DATE,No,,Parse ISO date YYYY-MM-DD,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Customer ID,stg_sales_invoices,customer_id,TEXT,Yes,Primary/Foreign Key,Trim whitespace; preserve source value,Reject null or blank,Revenue and receivables
sales_invoices.csv,Customer Name,stg_sales_invoices,customer_name,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Customer GSTIN,stg_sales_invoices,customer_gstin,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Place of Supply,stg_sales_invoices,place_of_supply,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Status,stg_sales_invoices,status,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Currency Code,stg_sales_invoices,currency_code,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Exchange Rate,stg_sales_invoices,exchange_rate,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Item ID,stg_sales_invoices,item_id,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Item Name,stg_sales_invoices,item_name,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,SKU,stg_sales_invoices,sku,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Sales Account,stg_sales_invoices,sales_account,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Quantity,stg_sales_invoices,quantity,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Rate,stg_sales_invoices,rate,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Discount,stg_sales_invoices,discount,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Tax Name,stg_sales_invoices,tax_name,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Tax Percentage,stg_sales_invoices,tax_percentage,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Tax Amount,stg_sales_invoices,tax_amount,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,SubTotal,stg_sales_invoices,subtotal,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Total,stg_sales_invoices,total,"DECIMAL(18,2)",Yes,,Trim whitespace; preserve source value,Reject null or blank,Revenue and receivables
sales_invoices.csv,Balance,stg_sales_invoices,balance,"DECIMAL(18,2)",No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
sales_invoices.csv,Salesperson,stg_sales_invoices,salesperson,TEXT,No,,Trim whitespace; preserve source value,Allow null; log when control-relevant,Revenue and receivables
