Month,Department,Account,Budget Amount,Currency Code,Version,Notes
2025-04-01,Sales,Sales Revenue,845000,INR,Budget v1,Synthetic management budget
2025-04-01,Sales,Purchases,485000,INR,Budget v1,Synthetic management budget
2025-04-01,Sales,Salaries,49000,INR,Budget v1,Synthetic management budget
2025-04-01,Sales,Marketing Expense,139000,INR,Budget v1,Synthetic management budget
2025-04-01,Sales,Technology Expense,110000,INR,Budget v1,Synthetic management budget
2025-04-01,Sales,Administration Expense,152000,INR,Budget v1,Synthetic management budget
2025-04-01,Operations,Sales Revenue,594000,INR,Budget v1,Synthetic management budget
2025-04-01,Operations,Purchases,508000,INR,Budget v1,Synthetic management budget
2025-04-01,Operations,Salaries,55000,INR,Budget v1,Synthetic management budget
2025-04-01,Operations,Marketing Expense,148000,INR,Budget v1,Synthetic management budget
2025-04-01,Operations,Technology Expense,93000,INR,Budget v1,Synthetic management budget
2025-04-01,Operations,Administration Expense,156000,INR,Budget v1,Synthetic management budget
2025-04-01,Finance,Sales Revenue,599000,INR,Budget v1,Synthetic management budget
2025-04-01,Finance,Purchases,540000,INR,Budget v1,Synthetic management budget
2025-04-01,Finance,Salaries,139000,INR,Budget v1,Synthetic management budget
2025-04-01,Finance,Marketing Expense,155000,INR,Budget v1,Synthetic management budget
2025-04-01,Finance,Technology Expense,121000,INR,Budget v1,Synthetic management budget
2025-04-01,Finance,Administration Expense,145000,INR,Budget v1,Synthetic management budget
2025-04-01,Technology,Sales Revenue,921000,INR,Budget v1,Synthetic management budget
2025-04-01,Technology,Purchases,428000,INR,Budget v1,Synthetic management budget
2025-04-01,Technology,Salaries,36000,INR,Budget v1,Synthetic management budget
2025-04-01,Technology,Marketing Expense,42000,INR,Budget v1,Synthetic management budget
2025-04-01,Technology,Technology Expense,67000,INR,Budget v1,Synthetic management budget
2025-04-01,Technology,Administration Expense,123000,INR,Budget v1,Synthetic management budget
2025-04-01,Administration,Sales Revenue,551000,INR,Budget v1,Synthetic management budget
2025-04-01,Administration,Purchases,512000,INR,Budget v1,Synthetic management budget
2025-04-01,Administration,Salaries,96000,INR,Budget v1,Synthetic management budget
2025-04-01,Administration,Marketing Expense,117000,INR,Budget v1,Synthetic management budget
2025-04-01,Administration,Technology Expense,46000,INR,Budget v1,Synthetic management budget
2025-04-01,Administration,Administration Expense,123000,INR,Budget v1,Synthetic management budget
2025-05-01,Sales,Sales Revenue,614000,INR,Budget v1,Synthetic management budget
2025-05-01,Sales,Purchases,320000,INR,Budget v1,Synthetic management budget
2025-05-01,Sales,Salaries,134000,INR,Budget v1,Synthetic management budget
2025-05-01,Sales,Marketing Expense,97000,INR,Budget v1,Synthetic management budget
2025-05-01,Sales,Technology Expense,82000,INR,Budget v1,Synthetic management budget
2025-05-01,Sales,Administration Expense,85000,INR,Budget v1,Synthetic management budget
2025-05-01,Operations,Sales Revenue,941000,INR,Budget v1,Synthetic management budget
2025-05-01,Operations,Purchases,543000,INR,Budget v1,Synthetic management budget
2025-05-01,Operations,Salaries,91000,INR,Budget v1,Synthetic management budget
2025-05-01,Operations,Marketing Expense,72000,INR,Budget v1,Synthetic management budget
2025-05-01,Operations,Technology Expense,60000,INR,Budget v1,Synthetic management budget
2025-05-01,Operations,Administration Expense,42000,INR,Budget v1,Synthetic management budget
2025-05-01,Finance,Sales Revenue,803000,INR,Budget v1,Synthetic management budget
2025-05-01,Finance,Purchases,581000,INR,Budget v1,Synthetic management budget
2025-05-01,Finance,Salaries,71000,INR,Budget v1,Synthetic management budget
