Date,Journal Number,Transaction Type,Transaction ID,Reference Number,Account,Account Type,Contact ID,Contact Name,Debit,Credit,Department,Branch,Description
2025-04-22,JRN-9001,Invoice,ZI-1001,INV-1001,Accounts Receivable,Accounts Receivable,CUST-005,Eastline Traders,111895.86,0,Sales,Mumbai,Sales invoice INV-1001
2025-04-22,JRN-9001,Invoice,ZI-1001,INV-1001,Consumer Goods,Income,CUST-005,Eastline Traders,0,94827,Sales,Mumbai,Sales invoice INV-1001
2025-04-22,JRN-9001,Invoice,ZI-1001,INV-1001,Output GST Payable,Other Current Liability,CUST-005,Eastline Traders,0,17068.86,Sales,Mumbai,Sales invoice INV-1001
2025-04-25,JRN-9002,Invoice,ZI-1002,INV-1002,Accounts Receivable,Accounts Receivable,CUST-003,City Bazaar Pvt Ltd,56016.96,0,Sales,Kolkata,Sales invoice INV-1002
2025-04-25,JRN-9002,Invoice,ZI-1002,INV-1002,Industrial Supplies,Income,CUST-003,City Bazaar Pvt Ltd,0,47472,Sales,Kolkata,Sales invoice INV-1002
2025-04-25,JRN-9002,Invoice,ZI-1002,INV-1002,Output GST Payable,Other Current Liability,CUST-003,City Bazaar Pvt Ltd,0,8544.96,Sales,Kolkata,Sales invoice INV-1002
2025-04-01,JRN-9003,Invoice,ZI-1003,INV-1003,Accounts Receivable,Accounts Receivable,CUST-007,Grand Retailers,106511.52,0,Sales,Mumbai,Sales invoice INV-1003
2025-04-01,JRN-9003,Invoice,ZI-1003,INV-1003,Packaging Revenue,Income,CUST-007,Grand Retailers,0,90264,Sales,Mumbai,Sales invoice INV-1003
2025-04-01,JRN-9003,Invoice,ZI-1003,INV-1003,Output GST Payable,Other Current Liability,CUST-007,Grand Retailers,0,16247.52,Sales,Mumbai,Sales invoice INV-1003
2025-04-05,JRN-9004,Invoice,ZI-1004,INV-1004,Accounts Receivable,Accounts Receivable,CUST-008,Harbor Mart,209872.44,0,Sales,Ahmedabad,Sales invoice INV-1004
2025-04-05,JRN-9004,Invoice,ZI-1004,INV-1004,Industrial Supplies,Income,CUST-008,Harbor Mart,0,177858,Sales,Ahmedabad,Sales invoice INV-1004
