Expense ID,Expense Date,Expense Account,Paid Through,Vendor ID,Vendor Name,GST Treatment,Tax Name,Tax Percentage,Tax Amount,SubTotal,Total,Payment Mode,Reference Number,Department,Branch,Description
ZE-8001,2025-04-07,Office Supplies,ICICI Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Registered Business - Regular,GST 18%,18,12060,67000,79060,Corporate Card,EXPREF-8001,Sales,Bengaluru,Synthetic operating expense
ZE-8002,2025-04-22,Marketing Expense,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,950,19000,19950,Corporate Card,EXPREF-8002,Operations,Kolkata,Synthetic operating expense
ZE-8003,2025-04-18,Travel Expense,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Non-GST,No Tax,0,0,44000,44000,UPI,EXPREF-8003,Finance,Ahmedabad,Synthetic operating expense
ZE-8004,2025-04-24,Software Subscription,HDFC Bank Current A/c,VEND-002,BoxPro Materials,Non-GST,No Tax,0,0,29000,29000,Bank Transfer,EXPREF-8004,Administration,Mumbai,Synthetic operating expense
ZE-8005,2025-04-11,Repairs & Maintenance,ICICI Bank Current A/c,VEND-008,Horizon Security,Non-GST,No Tax,0,0,64000,64000,UPI,EXPREF-8005,Sales,Delhi,Synthetic operating expense
ZE-8006,2025-04-14,Repairs & Maintenance,HDFC Bank Current A/c,VEND-002,BoxPro Materials,Non-GST,No Tax,0,0,45000,45000,Corporate Card,EXPREF-8006,Sales,Ahmedabad,Synthetic operating expense
ZE-8007,2025-05-25,Software Subscription,ICICI Bank Current A/c,VEND-005,Evergreen Technologies,Non-GST,No Tax,0,0,67000,67000,UPI,EXPREF-8007,Administration,Mumbai,Synthetic operating expense
ZE-8008,2025-05-13,Software Subscription,HDFC Bank Current A/c,VEND-004,Dyna Services,Non-GST,No Tax,0,0,32000,32000,UPI,EXPREF-8008,Technology,Delhi,Synthetic operating expense
ZE-8009,2025-05-15,Software Subscription,ICICI Bank Current A/c,VEND-003,Crest Logistics,Non-GST,No Tax,0,0,41000,41000,Bank Transfer,EXPREF-8009,Operations,Kolkata,Synthetic operating expense
ZE-8010,2025-05-05,Software Subscription,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,15300,85000,100300,Corporate Card,EXPREF-8010,Finance,Ahmedabad,Synthetic operating expense
ZE-8011,2025-05-02,Office Supplies,HDFC Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,7380,41000,48380,Corporate Card,EXPREF-8011,Technology,Bengaluru,Synthetic operating expense
ZE-8012,2025-05-17,Marketing Expense,ICICI Bank Current A/c,VEND-004,Dyna Services,Non-GST,No Tax,0,0,24000,24000,UPI,EXPREF-8012,Sales,Bengaluru,Synthetic operating expense
ZE-8013,2025-06-14,Marketing Expense,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Non-GST,No Tax,0,0,51000,51000,Bank Transfer,EXPREF-8013,Finance,Mumbai,Synthetic operating expense
ZE-8014,2025-06-13,Repairs & Maintenance,HDFC Bank Current A/c,VEND-006,FastTrack Transport,Registered Business - Regular,GST 18%,18,9000,50000,59000,UPI,EXPREF-8014,Administration,Kolkata,Synthetic operating expense
ZE-8015,2025-06-05,Marketing Expense,HDFC Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 5%,5,3350,67000,70350,Corporate Card,EXPREF-8015,Finance,Ahmedabad,Synthetic operating expense
ZE-8016,2025-06-13,Marketing Expense,ICICI Bank Current A/c,VEND-006,FastTrack Transport,Registered Business - Regular,GST 5%,5,2750,55000,57750,Bank Transfer,EXPREF-8016,Administration,Ahmedabad,Synthetic operating expense
ZE-8017,2025-06-05,Office Supplies,ICICI Bank Current A/c,VEND-006,FastTrack Transport,Non-GST,No Tax,0,0,43000,43000,Corporate Card,EXPREF-8017,Sales,Kolkata,Synthetic operating expense
ZE-8018,2025-06-16,Travel Expense,HDFC Bank Current A/c,VEND-005,Evergreen Technologies,Registered Business - Regular,GST 5%,5,2150,43000,45150,UPI,EXPREF-8018,Administration,Delhi,Synthetic operating expense
ZE-8019,2025-07-04,Office Supplies,HDFC Bank Current A/c,VEND-003,Crest Logistics,Registered Business - Regular,GST 18%,18,9360,52000,61360,UPI,EXPREF-8019,Operations,Bengaluru,Synthetic operating expense
ZE-8020,2025-07-24,Office Supplies,ICICI Bank Current A/c,VEND-004,Dyna Services,Registered Business - Regular,GST 5%,5,2700,54000,56700,UPI,EXPREF-8020,Technology,Mumbai,Synthetic operating expense
ZE-8021,2025-07-01,Marketing Expense,ICICI Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Registered Business - Regular,GST 5%,5,2800,56000,58800,UPI,EXPREF-8021,Administration,Bengaluru,Synthetic operating expense
ZE-8022,2025-07-01,Software Subscription,HDFC Bank Current A/c,VEND-007,Global Packaging,Non-GST,No Tax,0,0,52000,52000,Corporate Card,EXPREF-8022,Sales,Mumbai,Synthetic operating expense
ZE-8023,2025-07-18,Marketing Expense,HDFC Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 5%,5,4250,85000,89250,UPI,EXPREF-8023,Finance,Ahmedabad,Synthetic operating expense
ZE-8024,2025-07-05,Repairs & Maintenance,HDFC Bank Current A/c,VEND-008,Horizon Security,Registered Business - Regular,GST 5%,5,750,15000,15750,Corporate Card,EXPREF-8024,Operations,Mumbai,Synthetic operating expense
ZE-8025,2025-08-01,Travel Expense,ICICI Bank Current A/c,VEND-007,Global Packaging,Registered Business - Regular,GST 5%,5,1800,36000,37800,Corporate Card,EXPREF-8025,Sales,Bengaluru,Synthetic operating expense
ZE-8026,2025-08-14,Software Subscription,ICICI Bank Current A/c,VEND-003,Crest Logistics,Non-GST,No Tax,0,0,43000,43000,Bank Transfer,EXPREF-8026,Technology,Delhi,Synthetic operating expense
ZE-8027,2025-08-21,Marketing Expense,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 18%,18,10440,58000,68440,Bank Transfer,EXPREF-8027,Finance,Kolkata,Synthetic operating expense
ZE-8028,2025-08-04,Software Subscription,HDFC Bank Current A/c,VEND-001,Alpha Supplies Pvt Ltd,Non-GST,No Tax,0,0,25000,25000,Corporate Card,EXPREF-8028,Operations,Kolkata,Synthetic operating expense
ZE-8029,2025-08-06,Marketing Expense,ICICI Bank Current A/c,VEND-002,BoxPro Materials,Registered Business - Regular,GST 5%,5,1450,29000,30450,Corporate Card,EXPREF-8029,Technology,Bengaluru,Synthetic operating expense
