Invoice ID,Invoice Number,Invoice Date,Due Date,Customer ID,Customer Name,Customer GSTIN,Place of Supply,Status,Currency Code,Exchange Rate,Item ID,Item Name,SKU,Sales Account,Quantity,Rate,Discount,Tax Name,Tax Percentage,Tax Amount,SubTotal,Total,Balance,Salesperson,Branch,Reference Number,Notes
ZI-1001,INV-1001,2025-04-22,2025-06-06,CUST-005,Eastline Traders,10ABCDE5234K1Z8,Bihar,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,73,1299,0,GST 18%,18,17068.86,94827,111895.86,33568.76,K. Mehta,Mumbai,SO-9606,Synthetic Zoho-style export
ZI-1002,INV-1002,2025-04-25,2025-05-10,CUST-003,City Bazaar Pvt Ltd,19AACCC3234H1Z7,West Bengal,Partially Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,22,2226,1500,GST 18%,18,8544.96,47472,56016.96,28008.48,K. Mehta,Kolkata,SO-9097,Synthetic Zoho-style export
ZI-1003,INV-1003,2025-04-01,2025-04-16,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,46,1984,1000,GST 18%,18,16247.52,90264,106511.52,0,K. Mehta,Mumbai,SO-7770,Synthetic Zoho-style export
ZI-1004,INV-1004,2025-04-05,2025-05-05,CUST-008,Harbor Mart,36ABCDE8234N1Z5,Telangana,Partially Paid,INR,1,ITEM-002,Industrial Pack B,IPB-200,Industrial Supplies,82,2169,0,GST 18%,18,32014.44,177858,209872.44,104936.22,R. Singh,Ahmedabad,SO-9309,Synthetic Zoho-style export
ZI-1005,INV-1005,2025-04-24,2025-05-09,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,85,3330,1500,GST 18%,18,50679,281550,332229,0,A. Shah,Mumbai,SO-9327,Synthetic Zoho-style export
ZI-1006,INV-1006,2025-04-01,2025-05-16,CUST-007,Grand Retailers,33AACCG7234M1Z0,Tamil Nadu,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,50,1783,0,GST 18%,18,16047,89150,105197,0,K. Mehta,Kolkata,SO-9804,Synthetic Zoho-style export
ZI-1007,INV-1007,2025-04-07,2025-05-22,CUST-005,Eastline Traders,10ABCDE5234K1Z8,Bihar,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,46,1398,0,GST 18%,18,11575.44,64308,75883.44,22765.03,K. Mehta,Delhi,SO-9523,Synthetic Zoho-style export
ZI-1008,INV-1008,2025-04-06,2025-05-06,CUST-005,Eastline Traders,10ABCDE5234K1Z8,Bihar,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,58,1398,1500,GST 18%,18,14325.12,79584,93909.12,28172.74,R. Singh,Bengaluru,SO-9509,Synthetic Zoho-style export
ZI-1009,INV-1009,2025-04-06,2025-05-21,CUST-004,Delta Stores Limited,07AAACD4234J1Z3,Delhi,Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,110,1172,1000,GST 18%,18,23025.6,127920,150945.6,0,A. Shah,Bengaluru,SO-9465,Synthetic Zoho-style export
ZI-1010,INV-1010,2025-04-25,2025-05-10,CUST-008,Harbor Mart,36ABCDE8234N1Z5,Telangana,Partially Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,109,1814,1000,GST 18%,18,35410.68,196726,232136.68,69641,A. Shah,Ahmedabad,SO-7210,Synthetic Zoho-style export
ZI-1011,INV-1011,2025-05-12,2025-05-27,CUST-008,Harbor Mart,36ABCDE8234N1Z5,Telangana,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,56,1297,500,GST 18%,18,12983.76,72132,85115.76,42557.88,R. Singh,Bengaluru,SO-7118,Synthetic Zoho-style export
ZI-1012,INV-1012,2025-05-21,2025-06-20,CUST-009,Indus Stores,06AACCI9234P1Z2,Haryana,Partially Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,75,1344,0,GST 18%,18,18144,100800,118944,35683.2,R. Singh,Mumbai,SO-7553,Synthetic Zoho-style export
ZI-1013,INV-1013,2025-05-01,2025-06-15,CUST-008,Harbor Mart,36ABCDE8234N1Z5,Telangana,Paid,INR,1,ITEM-001,Consumer Pack A,CPA-100,Consumer Goods,79,1345,0,GST 18%,18,19125.9,106255,125380.9,0,A. Shah,Bengaluru,SO-9308,Synthetic Zoho-style export
ZI-1014,INV-1014,2025-05-23,2025-06-07,CUST-002,BlueMart Limited,27AAACB2234G1Z2,Maharashtra,Partially Paid,INR,1,ITEM-004,Speciality Kit D,SKD-400,Speciality Revenue,66,3098,0,GST 18%,18,36804.24,204468,241272.24,72381.67,A. Shah,Delhi,SO-9042,Synthetic Zoho-style export
ZI-1015,INV-1015,2025-05-14,2025-06-13,CUST-006,FreshCart Retail,29AACCF6234L1Z4,Karnataka,Paid,INR,1,ITEM-003,Packaging Set C,PSC-300,Packaging Revenue,63,1953,0,GST 18%,18,22147.02,123039,145186.02,0,R. Singh,Bengaluru,SO-7718,Synthetic Zoho-style export
