Payment ID,Payment Number,Payment Date,Vendor ID,Vendor Name,Bill ID,Bill Number,Amount Applied,Currency Code,Payment Mode,Reference Number,Paid Through,Branch,Notes
ZVP-6001,VPAY-6001,2025-04-18,VEND-001,Alpha Supplies Pvt Ltd,ZB-2002,BILL-2002,190297.42,INR,Cheque,UTR81705044,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6002,VPAY-6002,2025-05-03,VEND-001,Alpha Supplies Pvt Ltd,ZB-2003,BILL-2003,229511.18,INR,Cheque,UTR50047317,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6003,VPAY-6003,2025-05-12,VEND-008,Horizon Security,ZB-2004,BILL-2004,308508.64,INR,Cheque,UTR60099213,HDFC Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6004,VPAY-6004,2025-05-23,VEND-004,Dyna Services,ZB-2005,BILL-2005,28489.92,INR,Bank Transfer,UTR51757844,ICICI Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6005,VPAY-6005,2025-05-31,VEND-008,Horizon Security,ZB-2006,BILL-2006,123776.1,INR,Bank Transfer,UTR23794384,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6006,VPAY-6006,2025-04-27,VEND-001,Alpha Supplies Pvt Ltd,ZB-2008,BILL-2008,40016.16,INR,Cheque,UTR78268585,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6007,VPAY-6007,2025-05-18,VEND-006,FastTrack Transport,ZB-2009,BILL-2009,112240.42,INR,Bank Transfer,UTR90141547,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6008,VPAY-6008,2025-06-16,VEND-001,Alpha Supplies Pvt Ltd,ZB-2010,BILL-2010,135826.26,INR,Bank Transfer,UTR63708140,HDFC Bank Current A/c,Delhi,Payment applied to bill
ZVP-6009,VPAY-6009,2025-06-15,VEND-003,Crest Logistics,ZB-2011,BILL-2011,75402,INR,Cheque,UTR37481817,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6010,VPAY-6010,2025-06-09,VEND-005,Evergreen Technologies,ZB-2012,BILL-2012,204416.12,INR,Bank Transfer,UTR33058802,HDFC Bank Current A/c,Delhi,Payment applied to bill
ZVP-6011,VPAY-6011,2025-06-17,VEND-007,Global Packaging,ZB-2013,BILL-2013,47676.72,INR,Bank Transfer,UTR64176318,HDFC Bank Current A/c,Delhi,Payment applied to bill
ZVP-6012,VPAY-6012,2025-06-10,VEND-004,Dyna Services,ZB-2015,BILL-2015,192816.72,INR,Cheque,UTR56146131,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6013,VPAY-6013,2025-06-18,VEND-002,BoxPro Materials,ZB-2016,BILL-2016,63814.4,INR,Cheque,UTR73955313,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6014,VPAY-6014,2025-08-02,VEND-002,BoxPro Materials,ZB-2017,BILL-2017,210335,INR,Cheque,UTR69535356,HDFC Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6015,VPAY-6015,2025-07-08,VEND-001,Alpha Supplies Pvt Ltd,ZB-2018,BILL-2018,29537.76,INR,Cheque,UTR31560322,HDFC Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6016,VPAY-6016,2025-07-05,VEND-002,BoxPro Materials,ZB-2019,BILL-2019,117820.64,INR,Bank Transfer,UTR74429408,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6017,VPAY-6017,2025-07-13,VEND-004,Dyna Services,ZB-2020,BILL-2020,149295.96,INR,Cheque,UTR63616678,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6018,VPAY-6018,2025-07-24,VEND-006,FastTrack Transport,ZB-2021,BILL-2021,58064.85,INR,Cheque,UTR56733686,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6019,VPAY-6019,2025-07-22,VEND-007,Global Packaging,ZB-2022,BILL-2022,38057.36,INR,Bank Transfer,UTR26086238,ICICI Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6020,VPAY-6020,2025-07-29,VEND-007,Global Packaging,ZB-2023,BILL-2023,197107.2,INR,Bank Transfer,UTR51006545,ICICI Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6021,VPAY-6021,2025-08-16,VEND-001,Alpha Supplies Pvt Ltd,ZB-2025,BILL-2025,22461.3,INR,Bank Transfer,UTR31754389,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6022,VPAY-6022,2025-07-23,VEND-008,Horizon Security,ZB-2026,BILL-2026,61289.2,INR,Bank Transfer,UTR69108246,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6023,VPAY-6023,2025-07-16,VEND-005,Evergreen Technologies,ZB-2027,BILL-2027,40535.36,INR,Cheque,UTR62338698,ICICI Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6024,VPAY-6024,2025-08-05,VEND-001,Alpha Supplies Pvt Ltd,ZB-2029,BILL-2029,26315.77,INR,Bank Transfer,UTR78734388,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6025,VPAY-6025,2025-08-18,VEND-007,Global Packaging,ZB-2031,BILL-2031,148079.38,INR,Cheque,UTR69656996,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6026,VPAY-6026,2025-08-14,VEND-002,BoxPro Materials,ZB-2034,BILL-2034,181389.6,INR,Cheque,UTR78503252,ICICI Bank Current A/c,Delhi,Payment applied to bill
ZVP-6027,VPAY-6027,2025-08-30,VEND-003,Crest Logistics,ZB-2035,BILL-2035,58782.29,INR,Cheque,UTR15194445,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6028,VPAY-6028,2025-08-17,VEND-006,FastTrack Transport,ZB-2036,BILL-2036,176553.96,INR,Bank Transfer,UTR23169651,HDFC Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6029,VPAY-6029,2025-08-26,VEND-001,Alpha Supplies Pvt Ltd,ZB-2037,BILL-2037,91975.1,INR,Cheque,UTR74060992,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6030,VPAY-6030,2025-08-31,VEND-008,Horizon Security,ZB-2038,BILL-2038,43770.92,INR,Bank Transfer,UTR16949814,HDFC Bank Current A/c,Ahmedabad,Payment applied to bill
ZVP-6031,VPAY-6031,2025-08-26,VEND-003,Crest Logistics,ZB-2039,BILL-2039,57411.72,INR,Cheque,UTR22835074,HDFC Bank Current A/c,Kolkata,Payment applied to bill
ZVP-6032,VPAY-6032,2025-11-02,VEND-003,Crest Logistics,ZB-2041,BILL-2041,75574.28,INR,Cheque,UTR70442950,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6033,VPAY-6033,2025-09-12,VEND-005,Evergreen Technologies,ZB-2042,BILL-2042,21730.88,INR,Bank Transfer,UTR89181123,HDFC Bank Current A/c,Bengaluru,Payment applied to bill
ZVP-6034,VPAY-6034,2025-10-15,VEND-003,Crest Logistics,ZB-2044,BILL-2044,225881.5,INR,Bank Transfer,UTR84962395,ICICI Bank Current A/c,Mumbai,Payment applied to bill
ZVP-6035,VPAY-6035,2025-10-24,VEND-003,Crest Logistics,ZB-2045,BILL-2045,69911.46,INR,Bank Transfer,UTR43118740,HDFC Bank Current A/c,Delhi,Payment applied to bill
